,equity
2025-07-15,2870.0339685432546
2025-07-16,2923.3671138544632
2025-07-17,2975.6177721023437
2025-07-18,2832.708237473094
2025-07-21,2803.7143572740565
2025-07-22,2703.1163382052086
2025-07-23,2763.837987797326
2025-07-24,2926.9501325712936
2025-07-25,3050.8591914781737
2025-07-28,3404.2549807275655
2025-07-29,3614.439861589637
2025-07-30,3740.571147821078
2025-07-31,3529.2979413130615
2025-08-01,3529.2979413130615
2025-08-04,3538.217566870664
2025-08-05,3643.6746353930525
2025-08-06,3677.67383981881
2025-08-07,3226.0087278542487
2025-08-08,3247.799002670485
2025-08-11,3120.3689468822276
2025-08-12,3108.5202531777313
2025-08-13,2975.197060471098
2025-08-14,3210.1098174916615
2025-08-15,3418.430627920499
2025-08-18,3254.8350604603856
2025-08-19,2312.4767481718773
2025-08-20,2395.9748749318737
2025-08-21,2489.8875891155685
2025-08-22,2296.410541102968
2025-08-25,2352.680771478032
2025-08-26,2478.346163250834
2025-08-27,2483.6823299353864
2025-08-28,2545.762254505722
2025-08-29,2484.8799830322646
2025-09-02,2544.1078597631627
2025-09-03,2585.1245980326344
2025-09-04,2560.362151484271
2025-09-05,2411.5680380588024
2025-09-08,2454.096946945504
2025-09-09,2447.491412193281
2025-09-10,2509.0474547025256
2025-09-11,2384.6810358449834
2025-09-12,2372.5355947492167
2025-09-15,2291.378028326228
2025-09-16,2141.80304541503
2025-09-17,2167.913679889158
2025-09-18,2266.5835477662795
2025-09-19,2370.5239572204514
2025-09-22,2266.644980708589
2025-09-23,2354.306967161734
2025-09-24,2630.888375720687
2025-09-25,2938.890297581329
2025-09-26,3004.274752304383
2025-09-29,3126.6558129639643
2025-09-30,3154.1211731197363
